Username,Tweet,Date,Replies,Retweets,Likes,Bookmarks,Views,Translated_Tweet
@wassseeem1983,"عادت الشام منارة اسلامية ورأس حربتها الشيخاسامة الرفاعيالسيف الدمشقي الذي لا يخشى لومة لائم ومن حوله خيرة علماء اهل الشام 
اللهم وفقهم لما فيه خير لنا ولديننا ولبلدنا",2025-03-28T23:27:00,0,0,0,0,37,the levant returned an islamic beacon and the head of its war is the chief of the sheet the damascene sword which does not fear a blame for a blame and those around it the best scholars of the people of the levant oh god grant them good for us and our religion and our country
@ShahineSy1,اسامة الرفاعي: تنظيم جبهة فتح الشام خوارج ومنحرفين وأطلب من الشباب المسلم الإنسحاب منهم فوراً,2025-03-28T22:47:15,2,9,17,14,8831,osama al rifai organizing the fatah al sham front kharijites and deviants and i ask muslim youth to withdraw immediately from them
@Sultan_7aifa,أخي الرجاء من الحكومة السورية الرشيدة إلغاء تعيين الشيخأسامة الرفاعيوتعيين شي بويجي مدلل بدلاً عنه,2025-03-28T23:09:33,0,0,0,0,280,my brother rajaa the wise syrian government cancel the appointment
@AliMolhem60,مبروك لسوريا وشعبها العظيم تعيين الشيخ العلامهأسامه الرفاعيمفتي لسوريا ونأمل من الله في هذا الشهر الكريم إن يلهمه وأخوته علماء الشام الصواب وإن يعينهم على تلك المسؤوليه الجسيمه الملقاة على عواتقهم وإن يرشدهم لكل مابه خير للبلاد والعباد وان يكونوا خير معين ومرشد للعهد الجديد .,2025-03-28T23:42:15,0,0,0,0,30,congratulations to syria and its great people the appointment of sheikh al alamah al rifaiqi to syria and we hope from god in this holy month to inspire him and his brothers the scholars of the right and if he helps them on those partial responsibilities which is placed on their apostles and guides them for all the goodness of the country and the people and that they are a certain good and guided by the new era
@abo_7or_80,#ردع_العدوان#فجر_الحرية#سوريا_حرة#إدارة_العمليات_العسكرية#Syrian_Arab_Republic#StandWithSyria#FreeSyriaتعيين الشيخ#أسامة_الرفاعيمفتيا عاما للجمهورية العربية السورية...#سوريا#الشيخ_أسامة_الرفاعي,2025-03-28T22:25:30,0,0,0,0,94,determination of aggressionfajr_ freedomsyria_hramilitary operations administrationsyria_arab_republicstandwithsyriafreeseyria appoint sheikhosama_arviahi general of the syrian arab republic syriasheikh_ osama_al rifai
@AluxNazer,"نسينا ناخد رأي الشعب العراقي إذا موافقين على تعيين الشيخ ""أسامة الرفاعي"" مفتي أو لأ",2025-03-28T23:07:24,0,0,0,0,21,we forgot to take the opinion of the iraqi people if they agree to appoint sheikh osama al rifai mufti or l
@bdlmydbr22,تعيين الشيخأسامة الرفاعيخطوة مباركة بكل معنى الكلمة. اللهم سدد الرأي.,2025-03-28T23:27:36,0,0,3,0,156,the appointment of sheikhs al rifai is a blessed step in every sense of the word oh god pay the opinion
@alhourya_news,تعيين الشيخأسامة الرفاعيمفتياً عاماً للجمهورية العربية السورية.#صحيفة_الحرية,2025-03-28T23:25:03,0,0,0,0,34,the appointment of sheikhsa al rifai as general of the syrian arab republical hurriya newspaper
@RoyaNewsjo,تعيينأسامة الرفاعيمفتياً عاماً لسورياhttps://royanews.com/?p=428836#رؤيا_نيوز#royanewsjo#RoyaNewsjo#أسامة_الرفاعي#الشرع#سوريا#مفتي_عام,2025-03-28T22:46:59,0,0,0,0,72,appointing osama al riffa general of syria
@hwthy975441,الرئيس السوري أحمد الشرع يعين  الشيخأسامة الرفاعيمفتيا عاما لسوريا#الحدث_عاجل#سوريا_الجديدة,2025-03-28T22:23:38,0,0,3,0,168,syrian president ahmed al sharaa appoints sheikh osama al rifai a general general of syriaal hadathurgentsyria_
@Maysam3Maysam,"الحمد لله{وقل جاء الحقّ وزهق الباطل إنّ الباطل كان زهوقا}
فضيلة الشيخ#أسامة_الرفاعيمفتيًا عامًا للجمهورية العربية السورية",2025-03-28T22:17:31,0,0,0,0,109,praise be to god and say the truth came and the falsehood was lost his eminence sheikhosama_ al rafaa a general general of the syrian arab republic
@C_S_E_C,"#سوريافخامة الرئيس#احمد_الشرعحفظه الله ، يعيد لسوريا منصب مفتي عام الجمهورية ،فضيلة الشيخ#اسامة_الرفاعيحفظه الله .
هنيئا لشعبنا العظيم هذا الاختيار 
الرجل المناسب في المكان المناسب.#سوريا_الجديدة",2025-03-28T22:42:42,0,3,42,0,2354,surifaqa presidentahmed_alrah may god preserve him restores to syria the position of grand mufti of the republic his eminence sheikhosama_al rafafi may god protect him congratulations to our great people this choice the right man is in the right placenew syria
@diziciayla,أستودعتُكَ اللهم بلادَ شامٍ جميعًا..مُبارك سماحة الشيخأُسامة الرِفاعي..,2025-03-28T22:16:16,0,0,0,0,201,i have entrusted you to the country of all of sham
@i9t_974,تعيين مبارك؟ هل تعلم اناسامة الرفاعيقال بخلق القران؟ و هل تعلم ما حكم من يقول بأن القران مخلوق؟,2025-03-28T23:07:20,0,0,0,0,66,mubaraks appointment did you know the style of the riffaqaqa by creating the quran and do you know what the ruling on the one who says that the quran is a creature
@alhoson9009,الرئيس السوري أحمد الشرع يعلن تعيين الشيخأسامة الرفاعيمفتيًا عامًا للجمهورية#سوريا,2025-03-28T23:47:15,0,0,0,0,106,syrian president ahmed al shara announces the appointment of sheikhsa al rifai as general of the republicsyria
@saleh_kalel,بالتوفيق والنجاح الدائمين ودوام الصحة والعافية والعمر المديد إن شاء الله لسماحة الشيخاسامة الرفاعي,2025-03-28T23:45:02,0,0,0,0,6694,good luck successful success health wellness and long life god willing
@AlArabiya_SY,تعلم على يد والده الداعية الشهير.. أبرز المعلومات عن الشيخأسامة الرفاعيمفتي سوريا الجديد وخلفيته الأكاديمية والدينية#العربية#سوريا,2025-03-28T23:38:15,3,3,26,0,3476,learn at the hands of his famous preacher
@HamzaAlshaheed,الحمد لله الذي أكرمنا بالشيخأسامة الرفاعيمفتيًا للجمهورية، وباختيار الشيخ نعيم العرقسوسي عضوًا في اللجنة، وغيرهما من العلماء. لقد عُرفت الشام بتديّنها الحقيقي الجميل الوسطي، ونسأل الله أن يوفقهم لما فيه خير البلاد والعباد,2025-03-28T23:28:30,0,0,0,0,60,praise be to god who honored us with the osama al rifai as the republic and by the choice of sheikh naim al arqousi as a member of the committee and other scholars the levant was known for its true beautiful medieval religiosity and we ask god to help them for the good of the country and the people
@House_syr,تكليف الشيخأسامة الرفاعيبمنصب المفتي العام للسيد أحمد الشرع.,2025-03-28T23:05:50,0,2,5,0,725,assigning sheikh osama al rifai to the position of the grand mufti of mr ahmed al shara
@baderba2014,"تعيين الشيخأسامة الرفاعيمفتياً عاماً للجمهورية العربية السورية.
حفظ الله شيخنا الفاضل ووفقة",2025-03-28T23:07:58,0,0,0,0,59,the appointment of sheikhs al rifai as general of the syrian arab republic may god protect our honorable sheikh
@shamat_dr,لقد تم تعيين الشيخأسامة الرفاعيمفتي عام لسوريا ونعم الشيخ ابن المربي الشيخ عبدالكريم الرفاعي رحمه الله إنه يستحق المنصب!,2025-03-28T23:45:46,0,0,0,0,29,sheikh osama al rifaehi has been appointed general of syria and yes sheikh ibn al marabi sheikh abdul karim al rifai may god have mercy on him that he deserves the position
@fadi0bed,تجمع زينبيات الحشد الشعبي في جنوب العراق، يرفض قرار تعيينأسامة الرّفاعيمفتياً لسورية.,2025-03-28T23:07:52,3,0,84,0,4074,zainabiyat al hashda gathered in southern iraq rejecting the decision to appoint osama al raifa as a severity of syria
@ZanstKirkuki81,الرئيس السوري أحمد الشرع يعلن تعيين الشيخأسامة الرفاعيك( مفتي عام ) لسوريا ..#أحمد_الشرع#سوريا#أسامة_الرفاعي,2025-03-28T22:52:27,0,0,0,0,161,syrian president ahmed al shara announces the appointment of sheikh osama al rifaik grand mufti for syria ahmed_arasyriaosama_afaei
@MotorFanweb,車好き必見！全国のタイヤ＆ホイール専門店で『weds SPRING FAIR』開催中。新作ホイールを実車で比較検討できるチャンス！アルファード・ヴェルファイアのオーナーも注目のクレンツェ最新モデルをチェック！#カスタムカー#ホイール#weds,nan,4,2,78,12,504380,車好き必見全国のタイヤホイール専門店で weds spring fair 開催中新作ホイールを実車で比較検討できるチャンスアルファードヴェルファイアのオーナーも注目のクレンツェ最新モデルをチェックカスタムカーホイール weds
@REVO_CANEVO,"البعض منزعج من جعل الشيخأسامة الرفاعيرئيسا للمجلس الأعلى للافتاء من دعوة سلفية 

للتذكير فقط أن بلاد الشام هي اشعرية  بمعظمهما 
إن من دعم الثورة و أمدها هم الماتوردية الحنفية الأتراك 
إن أول من وقف إلى جنب سوريا بعد سقوط النظام هم الأتراك 

فل يبقى الخلاف في المجتمع العلمي",2025-03-28T22:51:08,3,0,9,3,827,some are annoyed by making sheikh osama al rifai head of the supreme council of fatwa from a salafi invitation to remind only that the levant is a poetic most of them one of the support and supplies the first to stood next to syria after the fall of the regime is the turks so the dispute remains in the scientific community
@AlHadath,الرئيس السوري أحمد الشرع يعين  الشيخأسامة الرفاعيمفتيا عاما لسوريا#الحدث_عاجل,2025-03-28T22:18:00,7,13,286,2,23195,syrian president ahmed al sharaa appoints sheikh osama al rifaimi a general general for syria
@CR11328,بالعكسأسامة الرفاعيمو سلفي يعني عكس توجه الشرع,2025-03-28T22:30:47,0,0,0,0,62,in contrast
@almohmad_seraj,سبحانك ربي ما أعظمكتغير من حال لحالأسامة الرفاعيإن الله يعز من يشاء ويزل من يشاء#سوريا#السعودية,2025-03-28T22:48:00,0,0,0,0,52,glory be to you my lord what is the greatest of you from the case of the osama al rifai that god is dear
@abo_hade5,"#سورياالرئيس السوري أحمد الشرع يصدر قرار بتعيين الشيخأسامة الرفاعيالمفتي العام للمجهورية العربية السورية .
نسأل الله التوفيق لهم .",2025-03-28T22:28:07,3,3,15,0,1097,syria syrian president ahmed al shara a decision to appoint sheikh osama al rifai the general mufti of the syrian arab republic we ask god for success for them
@093iii,الحمدلله تم تعين الشيخاسامة الرفاعيمفتي عام للجمهورية العربية السورية .#الشيخ_اسامة_الرفاعي,2025-03-28T22:44:36,0,0,0,0,97,praise be to god al akhtasah was appointed to the general public of the syrian arab republic
@AlHadath,الرئيس السوري أحمد الشرع يعين الشيخأسامة الرفاعيمفتيا عاما للبلاد#سوريا#الشرع#الحدث#قناة_الحدث,2025-03-28T23:02:59,2,3,101,0,13188,syrian president ahmed al sharaa appoints sheikh osama al rifaima general for the countrysyriashariaeventhadath channel
@omar79514419,احفاد الفاطميين كثير ومعظمهم يدعي أنه من ال البيت ومعظم شيوخهم الحاليين تربية إنجليزيةأسامة الرفاعيلم ينكر مجازر النظام في الثمانينات وكان جامعه في قلب المربع الأمني البوم كان مفتي دمشق وقريب من الاسدين  ماذا يفرق عن اديب حسون,2025-03-28T23:44:08,0,0,2,0,261,the descendants of the fatimids are many and most of them claim to be from the house and most of their current elders
@tJmauqzNkvCXEBB,يدرك الرئيس الشرع بنظره الثاقب وهو ابن مدينة دمشق تربى فيها أن لدمشق جبلين قاسيون والشيخأسامة الرفاعيولا استقرار لدمشق الا بهما ولذلك على الصغار الذين ينتقدون قرار الرئيس أن ينتهوا ويعطوا القوس باريها#أسامة_الرفاعي,2025-03-28T23:30:26,0,0,0,0,213,the sharia president realizes his wise view the son of the city of damascus in which he was raised that damascus has two qasiyoun mountain
@Abd_algany_,"من وين هي طالعين فيها سلفي و اشعري 

٨٠بلمية من الشعب السوري  ما بيعرف فيها

تاني شي   شو عرفكأسامة الرفاعيسلفي و لا اشعريعمي و قت يبدر منو غلط لك الحرية بنققد خطأه  وطرح وجهة نظرك بما يقوله 

اما هاد التشرذم  وتصنيف الناس من وين طالعين فيه",2025-03-28T23:10:13,3,0,27,0,1143,where are you looking for my predecessor and my hair malmia from the syrian people what we know in it tani shu shu i know the osama of the riffa and i am not my poetry and it is a mistake for you the freedom to move his mistake and put your point of view with what he says as for this fragmentation and classification of people from where do you see it
@MousaAlomar,الف مبارك لسماحة المفتي العام للجمهورية الشيخأسامة الرفاعيولمجلس الإفتاء الأعلى الأجلاء ..,2025-03-28T22:24:34,77,79,2005,28,91700,a thousand mubarak to his eminence the grand mufti of the republic sheikh osama al rifai and the council of the supreme fatwa
@SyriaThawra2011,اسامة الرفاعيعليه الكثير من الضبابية بمواقفه من إيران واتباعها ، وهرب خارج سوريا منذ بداية الثورة,2025-03-28T23:26:24,0,0,0,0,138,osama al rifai is a lot of fog in his positions from iran and its followers and he fled outside syria since the beginning of the revolution
@ach3ari_maliki,"تعيين شيخ الأحرار العلامةأسامة الرفاعيالشافعيمفتيا عاما للجمهورية العربية السوريةوإعتقال مفتي البراميل أحمد بدر الدين حسون
والحمد لله معز الإسلام وأهله بنصره ومذل الطغاة وأعوانهم بقهره ومصرف الأمور بأمره الذي قدر الأيام دولاً بعدله وجعل العاقبة للمتقين بفضله#سوريا_الجديدة",2025-03-28T22:49:34,0,0,0,0,359,the appointment of sheikh al ahrar al alama al rifai al shafea the general public of the syrian republic and the arrest of the grand mufti praise be to god moez al islam and his family with his victory humiliation and their agents by oppressing him and the bank of matters with his command which was destined for days
@hvin44,"صحيح الاشعرية او بشكل ادق مخانيث الجهميه 
+في العقيدةاسامه الرفاعييقول بخلق القران لهيك هو كافر",2025-03-28T23:09:04,0,0,11,0,363,correct poetic or more accurately in the doctrine al rifai he says the creation of the quran for hick is an infidel
@motab32,تعيين#أسامة_الرفاعيمفتيا عاما لجمهورية#سوريالن يعجب الجماعة السلفية الجهادية، ومن هنا تبدأ مرحلة ابتعاد الرئيس السوري#أحمد_الشرعتدريجيا عن حلفاء المرحلة السابقة، ولكن السؤال الآن متى تبدأ مرحلة الاصطدام بهم؟,2025-03-28T22:23:23,0,0,2,0,273,the appointment ofosama_ al rafaaimi is a general public for the republic of surrelene who admires the salafi jihadist group and from here begins the stage of the syrian president ahmed_ al shorjaria starts from the allies of the previous stage but the question now when does the phase of collision begin with them
@AldinBasel35536,حفظ الله السيد الرئيس أحمد الشرع والشيخأسامة الرفاعيووفقهما لخدمة الشعب السوري,2025-03-28T22:29:36,0,0,8,2,1108,may god protect president ahmed al shara and al shawaama al rifai successful to serve the syrian people
@AJA_Syria,كلمة الرئيس السوري أحمد الشرع خلال الإعلان عن مجلس الإفتاء الأعلى وتعيين الشبخأسامة الرفاعيمفتيًا للجمهورية العربية السورية#فيديو,2025-03-28T23:44:16,5,36,369,15,17140,the speech of the syrian president ahmed al shara during the announcement of the supreme ifta council and the appointment of the shabakhsa al rifai as the syrian arab republicvideo
@skynewsarabia,#سوريا..#الشرعيعين#أسامة_الرفاعيمفتياً عاماً للجمهورية#سكاي_اونلاين,2025-03-28T23:10:00,0,4,38,0,12865,syria al shariahosama_al rafaa a general general of the republicsky_onlain
@hamadasaraya,تعيينأسامة الرفاعيمفتيا جديدا لسورياhttps://almamlakatv.com//news/165266-#الاردن,2025-03-28T23:09:13,0,0,0,0,16,appointment of a new one for syria for syria
@osamaa53,رئيس المجلس و هواسامة الرفاعيمو أحمد الشرع,2025-03-28T22:53:07,0,0,0,0,66,the chairman of the council and the faseeh al rifaimo ahmed al shara
@Syrian_Blog,"مفتي الثورة، وإمام وخطيب جامع الرفاعي (حيث كانت ""نقطة اللاعودة"" في تعامل النظام البائد مع المتظاهرين في ليلة قدر ٢٠١١): اليوم هو المفتي العام للجمهورية العربية السورية#أسامة_الرفاعي#سوريا#المدونة_السورية#سورية_الجديدة",2025-03-28T22:43:43,0,0,6,0,707,the mufti of the revolution the imam and the preacher of the al rifai mosque where the point of no return was in the dedication of the defunct regime with the demonstrators on the night of today is the general grand mufti of the syrian arab republicosama_al rifaisyriasyrian blogsyria_
@UkiyoeWork,"＼
クレヨンしんちゃんの
浮世絵木版画が誕生／

歌川広重「東海道五十三次内 原 朝之富士」をモチーフに、野原一家の江戸旅が江戸伝承 浮世絵木版画で実現しました人間国宝の和紙に彫り・摺りの職人が枚枚、すべて手作業で作る珠玉の伝統工芸作品です",nan,207,557,2939,425,17705472,クレヨンしんちゃんの 浮世絵木版画が誕生 歌川広重東海道五十三次内 原 朝之富士をモチーフに野原一家の江戸旅が江戸伝承 浮世絵木版画で実現しました人間国宝の和紙に彫り摺りの職人が枚枚すべて手作業で作る珠玉の伝統工芸作品です
@kw4ever2kw,"اخ عمر ممكن تكتب لنا من هواسامه الرفاعيسيرته الذاتيه

لكي الكل يعرفه",2025-03-28T23:29:50,0,0,0,0,15794,brother omar can you write to us from his fastuce his self chain so everyone knows him
@SyriaEyesKSA,تصريح الرئيس السوري#أحمد_الشرعبمناسبة تعيين الشيخأسامة الرفاعيمفتيًا للجمهورية يأتي كخطوة هامة لتعزيز قيم الاعتدال والتسامح في المجتمع. نتمنى له التوفيق في مهامه الجديدة، وأن يكون صوت الحكمة والإرشاد في هذه المرحلة الدقيقة.#سوريا,2025-03-28T22:43:07,0,0,0,0,113,the statement of the syrian presidentahmed_ al sharab is on the occasion of the appointment of sheikhs al rifai as the republic comes as an important step to enhance the values of moderation and tolerance in society we wish him success in his new duties and that the voice of wisdom and guidance will be at this precise stagesyria
@_iloveqatar2022,كلمة السيد أحمد الشرع رئيس الجمهورية بمناسبة تعيينه للشيخأسامة الرفاعيمفيياً عاماً للجمهورية ..,2025-03-28T23:08:01,0,0,0,0,176,the speech of mr ahmed al shara president of the republic on the occasion of his appointment to the osama riffa in the general public of the republic
@j7dic,ليه الكل مُتناقض بسالفةاسامة الرفاعيمين مع مين ضد مين هاد اصلاً وليه ناس عم تقول طريق ضلال ناس عم تقول مبارك,2025-03-28T22:28:52,11,0,19,0,2887,why is everyone contradicting the predecessors of the riffaeen with maine against who originally
@fadi0bed,أم عزرائيل ترفض قرار تعيينأسامة الرّفاعيمفتياً لسورية.,2025-03-28T23:10:58,13,0,111,0,5131,um azrael rejects the decision to appoint an osama of the rifame in syria
@Mohd_info1,على أساس الشيخأسامة الرفاعيبياع خضرة,2025-03-28T22:49:17,0,0,0,0,228,on the basis of sheikh al rifai al raiba khadra
@syrian_n_m,نبارك للشيخأسامة الرفاعيتعيينه مفتياً للجمهورية وكل أعضاء مجلس الإفتاء، لما يعرف عن الشيخ أسامة اعتداله ومنهجه الوسطي الحضاري#الحركة_الوطنية_السورية,2025-03-28T23:44:59,0,0,5,0,67,we congratulate the osama al rifai his asset as a mufti of the republic and all members of the ifta council for what is known about sheikh osama auddah and his civilizational methodthe national movement_
@Jamal34404,"الهيئة فيها علماء على منهج السلف
اما الشيخأسامة الرفاعيهو صوفي اشعري وهو المفتي العام وهذا الذي نعترض عليه",2025-03-28T23:50:17,3,0,2,0,795,the authority has scholars on the predecessor curriculum as for sheikh osama al rifaiho sophie ashari who is the general mufti and this is what we object to
@Hudhaifa321,مبارك للشيخأسامة الرفاعينسأل الله أن يعينهم جميعاً على حمل الأمانة ويحفظهم.,2025-03-28T22:55:01,0,0,0,0,363,blessed is the osama al rifai we ask god to help them all to carry and protect the trust
@mo1996aq3,تيباس رئيس رابطة الاليغا يرفض قرار تعيينأسامة الرّفاعيمفتياً لسورية,2025-03-28T23:21:29,0,0,3,0,764,tibas president of the al liga association rejects the decision to appoint an osama a decentralization of syria
@hoz375,حكمت الهجري اني بقبلش باسامة الرفاعيمفتي,2025-03-28T23:48:09,0,0,4,0,236,i ruled al hijri that i was in the authority of osama al rifai
